,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month
147,6,2017-06-30,A,13012148157.0,6224311781.0,1637655092.0,7861966873.0,5150181284.0,深振业A,7043139327.0,06
148,6,2017-09-30,A,13222691675.0,6733394560.0,1248814002.0,7982208562.0,5240483112.0,深振业A,7357801561.0,09
149,6,2017-12-31,A,13139931309.0,6355662346.0,1076909940.0,7432572286.0,5707359023.0,深振业A,6894117316.0,12
150,6,2018-01-01,A,13139931309.0,6355662346.0,1076909940.0,7432572286.0,5707359023.0,深振业A,6894117316.0,01
151,6,2018-03-31,A,11132749198.0,3921205955.0,1217715223.0,5138921178.0,5993828019.0,深振业A,4530063567.0,03
152,6,2018-06-30,A,12094223130.0,4481685120.0,1700076394.0,6181761513.0,5912461616.0,深振业A,5331723317.0,06
153,6,2018-09-30,A,12463343600.0,4815260783.0,1639732897.0,6454993680.0,6008349921.0,深振业A,5635127231.0,09
154,6,2018-12-31,A,13536728185.0,5436698858.0,1713891971.0,7150590829.0,6386137356.0,深振业A,6293644843.0,12
155,6,2019-01-01,A,13536728185.0,5436698858.0,1713891971.0,7150590829.0,6386137356.0,深振业A,6293644843.0,01
156,6,2019-03-31,A,14019712732.0,5578220206.0,1811668758.0,7389888964.0,6629823768.0,深振业A,6484054585.0,03
157,6,2019-06-30,A,15566251892.0,6147854726.0,2955048396.0,9102903122.0,6463348770.0,深振业A,7625378924.0,06
158,6,2019-09-30,A,15489084775.0,5661445822.0,3118671952.0,8780117775.0,6708967000.0,深振业A,7220781799.0,09
159,6,2019-12-31,A,15745320851.0,5153923691.0,3421168614.0,8575092305.0,7170228546.0,深振业A,6864507998.0,12
160,6,2020-01-01,A,15745320851.0,5153923691.0,3421168614.0,8575092305.0,7170228546.0,深振业A,6864507998.0,01
161,6,2020-03-31,A,15330094970.0,3871821001.0,4147436083.0,8019257084.0,7310837886.0,深振业A,5945539043.0,03
162,6,2020-06-30,A,14968401509.0,4234716768.0,3567672203.0,7802388971.0,7166012538.0,深振业A,6018552869.0,06
163,6,2020-09-30,A,15402180509.0,4495241572.0,3444984761.0,7940226332.0,7461954177.0,深振业A,6217733952.0,09
164,6,2020-12-31,A,15434760023.0,4154819374.0,3441942481.0,7596761856.0,7837998168.0,深振业A,5875790615.0,12
165,6,2021-01-01,A,15434760023.0,4154819374.0,3441942481.0,7596761856.0,7837998168.0,深振业A,5875790615.0,01
166,6,2021-03-31,A,16052084462.0,4111344724.0,3818510344.0,7929855068.0,8122229394.0,深振业A,6020599896.0,03
167,6,2021-06-30,A,18761613820.0,6185599129.0,4592874727.0,10778473856.0,7983139964.0,深振业A,8482036492.0,06
168,6,2021-09-30,A,19816739639.0,6771517509.0,4875141418.0,11646658927.0,8170080712.0,深振业A,9209088218.0,09
169,6,2021-12-31,A,23601034833.0,9242449329.0,6174209647.0,15416658976.0,8184375856.0,深振业A,12329554153.0,12
170,8,2005-01-01,A,90797725.73,17944509.37,0.0,17944509.37,72853216.36,G 宝利来,17944509.37,01
171,8,2005-03-31,A,89513889.82,15424837.66,0.0,15424837.66,74089052.16,亿安科技,15424837.66,03
172,8,2005-06-30,A,87179543.96,13307013.56,0.0,13307013.56,73872530.4,宝利来,13307013.56,06
173,8,2005-09-30,A,95262245.04,24554744.46,0.0,24554744.46,70707500.58,宝利来,24554744.46,09
174,8,2005-12-31,A,90639371.84,22602478.7,0.0,22602478.7,68036893.14,G 宝利来,22602478.7,12
175,8,2006-01-01,A,90639371.84,22602478.7,0.0,22602478.7,68036893.14,宝利来,22602478.7,01
176,8,2006-03-31,A,78158775.74,5322554.78,0.0,5322554.78,72836220.96,G 宝利来,5322554.78,03
177,8,2006-06-30,A,77601566.41,5124462.61,0.0,5124462.61,72477103.8,G 宝利来,5124462.61,06
178,8,2006-09-30,A,77837991.39,5530008.6,0.0,5530008.6,72307982.79,G 宝利来,5530008.6,09
179,8,2006-12-31,A,76838064.18,5308278.75,0.0,5308278.75,71529785.43,宝利来,5308278.75,12
180,8,2007-01-01,A,76838064.18,5308278.75,0.0,5308278.75,71529785.43,*ST 宝投,5308278.75,01
181,8,2007-03-31,A,82085084.72,5769635.8,0.0,5769635.8,76315448.92,*ST 宝投,5769635.8,03
182,8,2007-06-30,A,82305894.2,5899225.61,0.0,5899225.61,76406668.59,*ST 宝投,5899225.61,06
183,8,2007-09-30,A,83389593.62,5897785.96,0.0,5897785.96,77491807.66,*ST 宝投,5897785.96,09
184,8,2007-12-31,A,79087425.07,5875402.74,0.0,5875402.74,73212022.33,*ST 宝投,5875402.74,12
185,8,2008-01-01,A,79087425.07,5875402.74,0.0,5875402.74,73212022.33,ST 宝利来,5875402.74,01
186,8,2008-03-31,A,78346799.39,4877105.89,0.0,4877105.89,73469693.5,*ST 宝投,4877105.89,03
187,8,2008-06-30,A,78408458.09,4953499.49,0.0,4953499.49,73454958.6,ST 宝利来,4953499.49,06
188,8,2008-09-30,A,78693004.41,5164242.56,0.0,5164242.56,73528761.85,ST 宝利来,5164242.56,09
189,8,2008-12-31,A,78914423.11,4954363.64,0.0,4954363.64,73960059.47,ST 宝利来,4954363.64,12
